name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,sentiment_score,dominant_topic
Held The Hand,daniel johnston,0.5536437246963564,0.159,0.5993761477121224,0.0377985462097611,0.9558232931726908,0.000222,0.376753507014028,0.467204843592331,0.5623535952708973,-0.5,2
If I Had A Hammer,ruthie foster,0.6103238866396761,0.337,0.7335043896058159,0.0319833852544132,0.5030120481927711,0.000491,0.1092184368737474,0.1493440968718466,0.2512989906505378,0.5,3
No Drama (feat. Craig David),james hypecraig david,0.7388663967611336,0.934,0.8485145775161623,0.0809968847352024,0.1686746987951807,2.56e-05,0.1422845691382765,0.7648839556004036,0.4988205859868445,0.2123076923076922,5
It's a Long Way Up,barry manilow,0.5921052631578947,0.7,0.582949714486957,0.080269989615784,0.1516064257028112,0.0,0.0612224448897795,0.3632694248234107,0.6116150817822439,-0.05,9
Rain Drops Keep Falling on My Head,bj thomas,0.6933198380566802,0.285,0.5880814026614343,0.0481827622014537,0.8142570281124499,1.37e-05,0.0804609218436873,0.6649848637739657,0.4295478981084407,0.15625,4
Love Is Like the Wind,juliana hatfield,0.6497975708502024,0.507,0.7340326516237768,0.0304257528556593,0.2600401606425703,0.00525,0.0838677354709418,0.7477295660948536,0.5151402419331761,0.0949999999999999,0
Little Garçon,born ruffians,0.5141700404858299,0.308,0.6423917691746535,0.0301142263759086,0.9036144578313252,0.000126,0.6472945891783567,0.3784056508577195,0.3888632247672854,-0.075,4
Today Is My Lucky Day,formula v,0.2520242914979757,0.682,0.9101451462782684,0.0402907580477673,0.5532128514056226,0.0188,0.0884769539078156,0.3864783047426841,0.5699983238830316,0.2368421052631578,3
Can't Sleep,mr husband,0.5931174089068826,0.0919,0.5210172817145876,0.0550363447559709,0.8694779116465864,0.00114,0.095691382765531,0.1392532795156407,0.4499188514101867,0.0261904761904761,8
Jealous Again,black flag,0.3461538461538462,0.925,0.6675974140316454,0.0700934579439252,0.0019578313253012,0.0,0.1913827655310621,0.4762865792129162,0.4323972969547816,-0.3333333333333333,9
Kings Of Invention,manilla road,0.4483805668016193,0.8390000000000001,0.7946318516841496,0.054932502596054,4.317269076305221e-05,0.0017399999999999,0.0919839679358717,0.2441977800201816,0.3882663636029156,0.3745454545454545,2
Gallo Del Cielo,jason boland stragglers,0.5809716599190283,0.806,0.8115362362588987,0.0502596053997923,0.0863453815261044,3.07e-06,0.9539078156312624,0.6256306760847629,0.5104634667822233,0.1615079365079365,3
When The Leaves,ingrid michaelson,0.604251012145749,0.0765,0.6387945563856816,0.0952232606438213,0.8443775100401607,0.0,0.1282565130260521,0.3057517658930373,0.3365520229914191,-0.0999999999999999,3
A Bad Note,outkast,0.2955465587044534,0.4529999999999999,0.6710436948154856,0.0336448598130841,0.0017469879518071,0.0527,0.4969939879759518,0.1321897073662966,0.4248752110476549,-0.2333333333333332,1
No Peace for the Wicked,thompson twins,0.6892712550607288,0.669,0.5998037883933288,0.0329179646936656,0.180722891566265,4.92e-05,0.3226452905811623,0.6286579212916246,0.4311545175440389,0.0499999999999999,2
Close my eyes,markus fagervall,0.2530364372469635,0.688,0.7652252660176591,0.0340602284527518,0.0624497991967871,0.0,0.0719438877755511,0.1866801210898082,0.6754097288369794,-0.0109740259740259,8
Big Wheels,russell dickerson,0.6578947368421053,0.797,0.8004427338817196,0.0344755970924195,0.1405622489959839,0.0,0.1052104208416833,0.8496468213925328,0.314709357229583,-0.1214305555555555,7
Up to You,paper jets,0.5890688259109312,0.6579999999999999,0.7947827836892813,0.0397715472481827,0.0092670682730923,0.0131,0.3496993987975951,0.5418768920282543,0.3065863220679196,0.3484848484848485,5
Ocean,alice smith,0.7591093117408907,0.552,0.7571755590773024,0.0882658359293873,0.3624497991967871,1.71e-06,0.1102204408817635,0.420787083753784,0.3679976125553426,0.3542857142857143,6
Christmas Without You,sheppard,0.5232793522267206,0.579,0.7394158931401403,0.0355140186915887,0.3092369477911647,1.55e-06,0.0847695390781562,0.3975782038345106,0.3270635657140054,0.125,3
Guns,coldplay,0.4807692307692307,0.565,0.739315271803386,0.0338525441329179,0.7781124497991968,0.188,0.1382765531062124,0.7144298688193743,0.3485096867296505,-0.2701388888888889,4
Sounds of Laughter,tsol,0.2611336032388664,0.975,0.8292204361934948,0.1578400830737279,0.0008514056224899,0.000943,0.2424849699398797,0.0572149344096871,0.4529317738632044,-0.0319444444444444,4
Sunday Morning (feat. Josie Dunne),matoma,0.6811740890688259,0.651,0.7733755942947702,0.0609553478712357,0.1736947791164658,0.0,0.1122244488977955,0.4318869828456104,0.5068414188943352,0.1967217630853994,5
Rat-tat-tat,j soul brothers iii,0.5890688259109311,0.944,0.8919326843257113,0.3136033229491173,0.0519076305220883,0.0,0.0881763527054108,0.7901109989909183,0.6090763777885886,0.1432900432900432,1
Keep Me in Your Heart,jorge calderón,0.6356275303643725,0.386,0.7189646064447967,0.0315680166147455,0.8504016064257028,2.08e-06,0.0932865731462925,0.2472250252270433,0.3632881326830544,0.0822089947089947,4
Mandy,barry manilow,0.3147773279352227,0.4370000000000001,0.7287500314441677,0.0301142263759085,0.5512048192771084,8.57e-06,0.1112224448897795,0.3975782038345105,0.4248384182361526,0.1833333333333333,0
"Syndicated Inc. (Parody of ""Misery"" by Soul Asylum)",weird al yankovic,0.4554655870445344,0.616,0.6965763590169296,0.0308411214953271,0.0008333333333333,3.5000000000000016e-06,0.1232464929859719,0.1886982845610494,0.4816097263841252,-0.0416666666666666,4
"Dreamhouse, Pt. 2",dendrites,0.5374493927125507,0.818,0.7282972354287727,0.0550363447559709,0.0004789156626505,2.2e-06,0.1833667334669338,0.5267406659939455,0.5395093474181667,-0.0801587301587301,0
The Finer Things,dolores keane,0.6275303643724697,0.245,0.5825975398083163,0.035202492211838,0.8644578313253012,3.24e-05,0.1002004008016032,0.3017154389505549,0.4583444052442021,0.2659090909090909,8
Mystery Train,band,0.5860323886639676,0.604,0.5815661711065832,0.053478712357217,0.00679718875502,0.0763,0.1112224448897795,0.7679112008072654,0.4586305715558862,-0.2015151515151515,3
